NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
01001,"BUTTER,WITH SALT",15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,1,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,18.8,0.17,2499,684,671,0,158,0,0,0,2.32,0,0,7,51.368,21.021,3.043,215,5,"1 pat,  (1"" sq, 1/3"" high)",14.2,1 tbsp,0
01002,"BUTTER,WHIPPED,W/ SALT",16.72,718,0.49,78.3,1.62,2.87,0,0.06,23,0.05,1,24,41,583,0.05,0.01,0.001,0,0,0.007,0.064,0.022,0.097,0.008,4,0,4,4,18.8,0.07,2468,683,671,1,135,6,0,13,1.37,0,0,4.6,45.39,19.874,3.331,225,3.8,"1 pat,  (1"" sq, 1/3"" high)",9.4,1 tbsp,0
01003,"BUTTER OIL,ANHYDROUS",0.24,876,0.28,99.48,0,0,0,0,4,0,0,3,5,2,0.01,0.001,0,0,0,0.001,0.005,0.003,0.01,0.001,0,0,0,0,22.3,0.01,3069,840,824,0,193,0,0,0,2.8,0,0,8.6,61.924,28.732,3.694,256,12.8,1 tbsp,205,1 cup,0
01004,"CHEESE,BLUE",42.41,353,21.4,28.74,5.11,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0.009,14.5,0,0.029,0.382,1.016,1.729,0.166,36,0,36,36,15.4,1.22,721,198,192,0,74,0,0,0,0.25,0.5,21,2.4,18.669,7.778,0.8,75,28.35,1 oz,17,1 cubic inch,0
01005,"CHEESE,BRICK",41.11,371,23.24,29.68,3.18,2.79,0,0.51,674,0.43,24,451,136,560,2.6,0.024,0.012,14.5,0,0.014,0.351,0.118,0.288,0.065,20,0,20,20,15.4,1.26,1080,292,286,0,76,0,0,0,0.26,0.5,22,2.5,18.764,8.598,0.784,94,132,"1 cup, diced",113,"1 cup, shredded",0
09106,"FRUIT SALAD,CND,EX HVY SYRUP,SOL&LIQUIDS",76.64,88,0.33,0.06,0.21,22.77,1,,6,0.28,5,9,80,5,0.07,0.063,0.143,,2.1,0.014,0.02,0.353,0.053,0.032,3,0,3,3,,0,637,32,0,,,,,,,0,0,,0.009,0.012,0.027,0,259,1 cup,,,0
09107,"GOOSEBERRIES,RAW",87.87,44,0.88,0.58,0.49,10.18,4.3,,25,0.31,10,27,198,1,0.12,0.07,0.144,0.6,27.7,0.04,0.03,0.3,0.286,0.08,6,0,6,6,,0,290,15,0,,,,,,0.37,,,,0.038,0.051,0.317,0,150,1 cup,,,0
01132,"EGG,WHL,CKD,SCRMBLD",76.4,149,9.99,10.98,1.01,1.61,0,1.39,66,1.31,11,165,132,145,1.04,0.059,0.022,23.5,0,0.04,0.376,0.076,1.217,0.134,36,0,36,36,221,0.76,578,161,159,0,26,7,0,372,1.15,1.8,72,4,3.331,4.441,2.429,277,61,1 large,13.7,1 tbsp,0
01133,"EGG,WHL,DRIED",2.78,592,48.05,43.9,4.13,1.13,0,0.56,244,7.2,34,629,540,476,3.15,0.203,0.058,164.7,0,0.183,1.977,0.34,5.55,0.499,119,0,119,119,1266.7,2.96,999,300,300,0,0,36,0,835,3.88,8.3,331,1.2,15.069,16.726,8.314,1630,85,"1 cup,  sifted",5,1 tbsp,0
01134,"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",1.87,615,48.17,43.95,3.63,2.38,0,,222,8.28,49,715,515,548,5.71,0.27,0.15,121.1,0,0.325,1.232,0.259,6.71,0.42,193,0,193,193,,10.51,2050,616,616,,,,,,,,,,13.198,17.564,5.713,2017,85,"1 cup,  sifted",5,1 tbsp,0
01135,"EGG,WHITE,DRIED,FLAKES,STABILIZED,GLUCOSE RED",14.62,351,76.92,0.04,4.25,4.17,0,0,83,0.23,67,83,1042,1156,0.15,0.23,0.07,116.8,0,0.035,2.162,0.675,1.829,0.023,89,0,89,89,8.4,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.35,1 oz,227,.5 lb,0
01136,"EGG,WHITE,DRIED,PDR,STABILIZED,GLUCOSE RED",8.54,376,82.4,0.04,4.55,4.47,0,0,89,0.24,72,89,1116,1238,0.16,0.17,0.05,125.1,0,0.037,2.316,0.723,1.958,0.024,96,0,96,96,8.4,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,"1 cup,  sifted",7,1 tbsp,0
01137,"EGG,YOLK,DRIED",3.08,669,33.63,59.13,3.51,0.66,0,0.23,289,9.56,26,1040,264,149,7.73,0,0.185,139.3,0,0.387,1.257,0.083,9.063,0.742,209,0,209,209,2403.3,5.11,1590,477,477,79,0,70,0,1133,4.81,10.4,417,1.5,20.334,23.377,10.32,2307,67,"1 cup,  sifted",4,1 tbsp,0
01138,"EGG,DUCK,WHOLE,FRESH,RAW",70.83,185,12.81,13.77,1.14,1.45,0,0.93,64,3.85,17,220,222,146,1.41,0.062,0.038,36.4,0,0.156,0.404,0.2,1.862,0.25,80,0,80,80,263.4,5.4,674,194,192,0,14,12,0,459,1.34,1.7,69,0.4,3.681,6.525,1.223,884,70,1 egg,,,12
01139,"EGG,GOOSE,WHOLE,FRESH,RAW",70.43,185,13.87,13.27,1.08,1.35,0,0.94,60,3.64,16,208,210,138,1.33,0.062,0.038,36.9,0,0.147,0.382,0.189,1.759,0.236,76,0,76,76,263.4,5.1,650,187,185,0,13,12,0,442,1.29,1.7,66,0.4,3.595,5.747,1.672,852,144,1 egg,,,13
01140,"EGG,QUAIL,WHOLE,FRESH,RAW",74.35,158,13.05,11.09,1.1,0.41,0,0.4,64,3.65,13,226,132,141,1.47,0.062,0.038,32,0,0.13,0.79,0.15,1.761,0.15,66,0,66,66,263.4,1.58,543,156,155,0,11,10,0,369,1.08,1.4,55,0.3,3.557,4.324,1.324,844,9,1 egg,,,8
01141,"EGG,TURKEY,WHL,FRSH,RAW",72.5,171,13.68,11.88,0.79,1.15,0,,99,4.1,13,170,142,151,1.58,0.062,0.038,34.3,0,0.11,0.47,0.024,1.889,0.131,71,0,71,71,,1.69,554,166,166,,,,,,,,,,3.632,4.571,1.658,933,79,1 egg,,,12
01144,"EGG SUBSTITUTE,POWDER",3.86,444,55.5,13,5.84,21.8,0,21.8,326,3.16,65,478,744,800,1.82,0.207,0.08,127.7,0.8,0.226,1.76,0.577,3.384,0.143,125,0,125,125,117.6,3.52,1230,369,369,0,0,0,0,0,1.26,0,0,0.4,3.766,5.341,1.683,572,9.9,.35 oz,20,.7 oz,0
01145,"BUTTER,WITHOUT SALT",17.94,717,0.85,81.11,0.09,0.06,0,0.06,24,0.02,2,24,24,11,0.09,0.016,0.004,1,0,0.005,0.034,0.042,0.11,0.003,3,0,3,3,18.8,0.17,2499,684,671,0,158,0,0,0,2.32,0,0,7,50.489,23.43,3.01,215,5,"1 pat,  (1"" sq, 1/3"" high)",14.2,1 tbsp,0
01146,"CHEESE,PARMESAN,SHREDDED",25,415,37.86,27.34,6.39,3.41,0,0.9,1253,0.87,51,735,97,1696,3.19,0.037,0.023,23.9,0,0.041,0.352,0.287,0.527,0.105,8,0,8,8,15.4,1.4,865,229,223,0,73,0,0,0,0.25,0.5,21,1.9,17.37,8.734,0.661,72,5,1 tbsp,,,0
01151,"MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",90.84,34,3.37,0.08,0.75,4.96,0,5.09,122,0.03,11,101,156,42,0.42,0.013,0.003,3.1,0,0.045,0.182,0.094,0.357,0.037,5,0,5,5,15.6,0.5,15,2,1,0,7,0,0,0,0.01,0,0,0,0.051,0.021,0.003,2,245,1 cup,980,1 quart,0
01152,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",87.71,56,3.95,1.98,0.87,5.49,0,,143,0.06,15,112,182,59,0.41,0.011,0.002,2.6,1.1,0.045,0.194,0.101,0.339,0.046,5,0,5,5,,0.39,75,17,16,,,,,,,,,,1.232,0.065,0.009,8,245,1 cup,980,1 quart,0
01153,"MILK,CND,EVAP,W/ VIT A",74.04,134,6.81,7.56,1.55,10.04,0,,261,0.19,24,203,303,106,0.77,0.016,0.006,2.3,1.9,0.047,0.316,0.194,0.638,0.05,8,0,8,8,,0.16,397,,,,,,,,,,,,4.591,2.335,0.245,29,31.5,1 fl oz,126,.5 cup,0
01154,"MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",3.16,362,36.16,0.77,7.93,51.98,0,51.98,1257,0.32,110,968,1794,535,4.08,0.041,0.02,27.3,6.8,0.415,1.55,0.951,3.568,0.361,50,0,50,50,169.2,4.03,2179,653,653,0,1,0,0,0,0,11,440,0.1,0.499,0.2,0.03,20,30,.25 cup,120,1 cup,0
01155,"MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D",3.96,358,35.1,0.72,8.03,52.19,0,52.19,1231,0.31,117,985,1705,549,4.41,0.041,0.02,27.3,5.6,0.413,1.744,0.891,3.23,0.345,50,0,50,50,167.8,3.99,15,4,4,0,1,0,0,0,0.01,0,0,0,0.47,0.19,0.03,18,68,1 cup,91,"1 envelope,  (1-1/3 cup)",0
01156,"CHEESE,GOAT,HARD TYPE",29.01,452,30.52,35.59,3.72,2.17,0,2.17,895,1.88,54,729,48,423,1.59,0.627,0.252,5.5,0,0.14,1.19,2.4,0.41,0.08,4,0,4,4,15.4,0.12,1745,486,478,0,91,0,0,0,0.31,0.7,26,3,24.609,8.117,0.845,105,28.35,1 oz,,,0
